pelicula,genero,duracion,presupuesto,recaudacion,director,fecha_nac_director,actor_protagonista,fecha_nac_prota
Kiss of the Dragon,Western,3.8,26949287.98,74188517.36,Ahmad Wharby,6/7/1950,Clovis O' Borne,12/4/1945
Assassination of a High School President,Acción,2.65,22343483.25,56643824.75,Mendie Fingleton,10/26/2022,Trudey Belin,7/11/1948
The Whisperer in Darkness,Acción,1.47,20907710.3,48561478.33,Claudia Hourican,1/20/2004,Nap Andriolli,1/20/1986
Podwórka,Comedia,1.13,10798914.77,27653309.4,Aube Mabson,3/29/2002,Sandi Lenormand,3/18/1989
Get Well Soon,Documental,1.45,25839832.77,52921776.71,Kin McCurrie,2/8/1977,Merilyn Lochead,5/18/1954
"Out of Towners, The",Ciencia ficción,2.02,13238684.76,38896954.16,Alyss Lintill,6/2/1974,Idette Beddingham,3/17/1990
Silent Souls (Ovsyanki),Cine negro,1.34,8856807.85,21978997.59,Theo Longridge,11/10/1962,Thorstein O'Malley,8/31/1960
1066,Western,2.43,5922312.03,14580224.08,Farah Keary,8/9/1932,Della Duff,12/9/1944
Good Morning (Ohayô),Cine negro,2.67,20577392.11,34300663.17,Alaric Elintune,5/29/1979,Malissia Coniam,12/9/1975
Easy,Cine negro,2.5,28110961.24,75339269.67,Lelia Tarbath,5/3/2023,Joelle Ferenc,11/25/2001
Sweet Home Alabama,Animación,3.61,27435837.5,68051306.43,Josh Conduit,7/19/2006,Fannie Spurett,6/30/2015
Murder on a Honeymoon,Histórico,1.21,13848226.41,34516780.58,Ginger Hallatt,11/24/1977,Elvis Marusik,4/16/2024
"Crew, The",Aventura,3.78,23546358.7,38423713.7,Noel Patrie,12/16/2014,Florencia Heining,8/23/1934
Me and Morrison (Minä ja Morrison),Cine negro,1.51,13437962.49,26488351.04,Eyde Arrol,2/21/1942,Stacey Booy,6/13/1956
Bizarre,Drama,2.37,7107838.59,15378391.99,Araldo Uttermare,8/15/2018,Joana Baxstare,1/20/1937
Small Apartments,Comedia,2.13,14468425.15,32226515.37,Cori Fullicks,6/21/1949,Gaultiero Akers,11/16/1986
Princess of Mars,Romance,1.29,6949880.13,12588900.08,Yorgo Dodridge,8/22/1961,Gaby Carslake,3/13/1932
"Way Back, The",Documental,2.5,18167763.53,47220952.29,Felizio Hollyar,12/11/2003,Lilia Mussett,12/5/1982
Mannequin 2: On the Move,Acción,3.37,25903280.02,43832215.43,Zilvia Pantin,9/11/1986,Stoddard Anglin,10/1/1959
Valerie and Her Week of Wonders (Valerie a týden divu),Romance,1.16,23056763.82,67081025.39,Panchito Grigorian,4/26/1956,Gwenny Hucke,11/1/1972
Last Night,Western,1.7,11999507.22,18752465.93,Joleen Jacob,7/12/1959,Hadleigh Bultitude,9/17/2012
"First Time, The",Fantasía,3.15,25274131.04,59365729.65,Janet Beverley,11/12/1946,Enrika Davidoff,5/1/1944
Manhattan Murder Mystery,Romance,3.7,21822006.59,44180689.73,Geri Cassedy,8/24/2003,Kat Lisle,7/30/1938
Into the Storm,Ciencia ficción,1.61,27654732.79,34679307.74,Woodman Blaes,1/29/2016,Laural Pomfret,1/18/1972
Star Trek: Generations,Acción,1.85,20662489.78,60763708.61,Currie Shepstone,7/1/1952,Stefania Barney,12/27/1936
A Flintstones Christmas Carol,Fantasía,1.74,19925588.06,32055506.77,Durward MacPherson,10/11/1957,Jephthah Grimm,2/22/1973
Jetsons: The Movie,Acción,1.99,21692973.02,56596895.86,Janaya Burdin,11/25/1949,Ardisj Owain,1/11/1981
Student Bodies,Fantasía,3.21,22091097.6,41885137.22,Geri Stiell,7/18/1972,Marlin Brunel,1/28/1988
Get Bruce,Animación,2.46,14023214.01,27982848.16,Michal Bockh,9/10/1987,Rena Mainland,7/21/1953
Death to Smoochy,Musical,2.02,12995026.41,16893295.2,Ollie Storey,4/30/2005,Bendix Mattedi,2/1/2004
Green Dolphin Street,Romance,3.8,5088993.11,14580884.07,Melina Brisker,9/25/1978,Kenon Woller,4/29/2005
Killer Crocodile,Aventura,3.66,19461857.62,57380281.63,Maryjane Padberry,8/12/2004,Dilly Murdy,8/18/1994
"Court-Martial of Billy Mitchell, The",Bélico,3.66,22535196.33,56756182.92,Amalee Gonning,6/18/2019,Helena Peckett,1/7/1987
Ed,Bélico,2.03,18762367.04,24603788.4,Albert Undy,7/2/2019,Bidget McCluin,4/11/2014
"Rocket, The (a.k.a. Maurice Richard)",Animación,1.43,16767131.42,37445193.48,Aloysia Lamers,8/4/2006,Marley Hewins,2/9/1974
Barefoot,Aventura,1.8,22685154.45,58606955.52,Anabel Kelwick,10/19/1930,Herby Kingscote,12/1/1965
"Ivan the Terrible, Part Two (Ivan Groznyy II: Boyarsky zagovor)",Fantasía,1.56,27010112.88,35027362.91,Meier Pervew,9/10/1954,Jilleen Tressler,6/13/1931
Up the Sandbox,Comedia,3.63,9965985.5,22097415.72,Hadrian Huntley,2/2/1940,Colette Zanetello,12/13/2024
Everybody's All-American,Cine negro,2.19,9225686.02,14726835.86,Phaedra Minney,5/10/1992,Clari Rumsey,10/12/2016
Pulse,Romance,1.51,27542138.63,43361612.61,Fredrick Alger,4/3/1961,Arabele Klaessen,4/2/1966
Hitchcock,Comedia,2.38,16510062.72,41614730.56,Trevar Kittow,4/15/1983,Flint Rate,11/12/1994
Harold and Maude,Romance,3.49,12747917.78,36160780.92,Aryn Overil,3/21/1986,Evin Deeks,12/18/1968
Tito and Me (Tito i ja),Aventura,1.83,24458064.1,49607792.39,Alfie Gillbe,1/13/1983,Charis Hayward,9/6/1982
Mighty Aphrodite,Terror,2.24,28273970.99,60488724.95,Sully Thew,3/28/1952,Lesley Woodroof,7/3/1934
"Upside of Anger, The",Musical,3.41,20534380.84,60364631.42,Denny Refford,3/26/1987,Brinna Padula,6/9/1946
Super Capers,Documental,1.3,12360072.92,30810837.3,Alika Jamary,10/2/1948,Ingmar Garretts,1/24/1952
"Boy, Did I Get a Wrong Number!",Ciencia ficción,2.82,22972237.67,44088693.59,Cherish Ellerbeck,7/13/1949,Livvie Havock,3/27/1975
"Laugh, Clown, Laugh",Terror,3.55,11254322.81,30418920.86,Alexandra Paula,1/6/2007,Adela Iceton,9/18/1939
"Wolfman, The",Fantasía,1.16,17377551.14,23901036.72,Dianemarie Stiffkins,2/11/2023,Cammie McRamsey,6/29/1984
"Haunted World of Edward D. Wood Jr., The",Drama,2.95,27798102.81,49460400.49,Dario Pounsett,10/2/1964,Burke Riddeough,6/2/2006
"Last Detail, The",Terror,2.55,18233949.2,33735364.18,Shir Cripps,6/6/1998,Selig Pietranek,12/1/2002
Big Fan,Terror,3.27,24763030.17,56296957.78,Brittani Coady,10/1/1930,Magdalene Temprell,3/29/1944
Flicker,Romance,1.78,6189781.08,16608593.49,Addie Galtone,5/1/1936,Ignaz Thing,11/10/1996
Digging Up the Marrow,Fantasía,3.08,14719847.34,36601691.56,Fred Dello,10/26/1995,Roseann Brownrigg,8/26/2019
Imagine That,Drama,2.29,8609522.19,18489325.93,Louisette Becks,3/9/1995,Sophronia Kenealy,2/4/1979
Merrily We Live,Suspense,3.86,29915805.56,62923390.39,Faythe Guihen,3/22/1995,Marge Fante,10/28/1956
Death on the Nile,Suspense,3.95,5278557.82,6974172.4,Gabriel Pullin,2/26/1963,Sharron Stollman,2/25/1999
Show Me,Aventura,2.31,17632665.89,28101991.46,Nanice Valeri,1/3/1962,Angelle Pahler,10/28/1932
"Day After, The",Animación,1.06,27011628.85,40972434.5,Dru Brosenius,9/29/2003,Whit Liggons,8/16/1981
The Kick,Musical,1.96,20743365.8,37120281.85,Oran Burroughes,10/13/1970,Robb McEntagart,6/25/1977
"End of Love, The",Histórico,3.85,5040621.78,8701631.99,Arvin Josiah,2/8/1934,Christy Hundley,1/4/1961
"Story of the Weeping Camel, The (Geschichte vom weinenden Kamel, Die)",Romance,2.44,29108672.7,57366484.66,Mufinella Tomlinson,10/24/1934,Bird Walklot,12/4/2002
Wallace & Gromit: The Best of Aardman Animation,Misterio,3.83,10873346.16,15022056.89,Kale Fairholme,2/11/2002,Linnell Gorbell,6/2/1953
California Dreamin' (Nesfarsit),Comedia,3.01,27901792.93,81908432.7,Luigi Fishly,3/23/2025,Harrie Hutchinson,10/15/1967
"Ox-Bow Incident, The",Histórico,3.95,27598944.86,35033627.57,Marc Fawkes,9/6/1933,Kissee Beamand,10/9/1953
"Razor's Edge, The",Terror,2.7,22926285.91,46122680.13,Madeline Newell,5/23/2011,Brooks Norrington,10/4/2003
Repo Man,Western,2.89,25072832.92,52747844.08,Flori O'Nions,3/2/1982,Ernest Skellon,6/1/1984
Not Cool,Comedia,3.44,22485863.68,58217847.22,Jobie Jeandillou,5/20/1999,Heath Johantges,11/28/1965
Alien Trespass,Aventura,1.91,9024784.45,23426118.51,Dorine McAvin,5/12/1965,Kennan Doerffer,4/3/1989
Black Dynamite,Romance,2.55,24531236.61,45096207.41,Farrah Paddie,8/10/1961,Marcelle Spellward,10/17/2025
Barefoot in the Park,Bélico,1.14,13044188.92,28791716.95,Corrie Cuffley,10/7/1978,Ewell Manvell,9/20/2007
War of the Buttons,Western,1.91,18668941.34,31117781.09,Ethelred Baszniak,11/5/2022,Bridget Ridings,6/30/1950
Salsa,Ciencia ficción,3.71,6220158.67,13026050.5,Giselle Puckett,1/29/1996,Shandee Kausche,4/14/1945
"Mexican, The",Misterio,1.14,27844646.33,57977791.68,Danny Stickney,2/24/1940,Grantley Roffe,10/2/1973
Pumpkinhead,Suspense,3.22,22073436.46,50909155.82,Ame Bantock,2/22/1952,Garrard Poulett,1/3/2003
Masters of the Universe,Bélico,1.82,22860457.37,36368075.8,Reinaldos Phil,1/1/2002,Maegan Rannells,10/30/1994
Boxcar Bertha,Terror,1.8,18975234.28,47507780.05,Cornelle Creevy,5/13/2013,Priscella Pavek,9/6/1962
"Solitude of Prime Numbers, The",Cine negro,2.38,19519610.4,46022532.11,Lyndel Daffern,10/12/2008,Christoper Pentecust,6/16/1980
Poultrygeist: Night of the Chicken Dead,Animación,3.7,24528122.7,65299926.12,Dewey Innwood,2/20/2009,Milton Emney,4/5/1950
The Face Behind the Mask,Terror,3.54,9856691.55,13081391.68,Jeanne Rubinlicht,10/21/2009,Sharleen Dashwood,10/20/1989
"Jackal, The",Drama,3.74,18152505.96,44345391.16,Alysia Tunesi,3/21/1992,Nataline Lindenblatt,10/15/1992
Like Someone In Love,Suspense,3.48,22574927.8,38661149.48,Levy Warby,9/25/1996,Reginald Kelberer,1/8/1980
Brighton Rock,Terror,2.57,21909194.8,50741040.07,Cristionna Muddiman,10/1/1984,Florence Kinglesyd,11/18/1975
"Life Before Her Eyes, The",Suspense,2.5,29324690.52,48219557.71,Dew Briggdale,12/23/1989,Francyne Pfeiffer,1/1/1974
Adore,Suspense,1.27,25306004.89,52148719.12,Douglass McBryde,4/28/1962,Evangelina McGlew,10/20/2006
Torque,Documental,1.79,9711118.03,17942529.21,Fae Mingardo,2/5/1937,Dannie Donaway,2/18/2023
Bad Guy (Nabbeun namja),Comedia,3.0,19705379.23,41065660.86,Ruthe Jirak,10/14/2007,Franni Ferrieroi,12/30/1955
Diary of the Dead,Musical,2.2,15120108.51,23299891.31,Helen-elizabeth Bach,10/26/1944,Louella De Minico,2/14/1960
Through a Glass Darkly (Såsom i en spegel),Cine negro,1.34,8414605.29,21004583.98,Johanna Temlett,11/20/1949,Casi Fuster,12/16/1963
Flame of Barbary Coast,Misterio,3.57,18912295.82,51009567.6,Hermon MacCaig,9/1/1977,Tomlin Lauderdale,5/6/1940
Requiem,Histórico,2.09,21181311.87,55684828.6,Shirlene Scurlock,4/5/2000,Noemi Thys,1/23/1981
Princess Protection Program,Western,3.44,15697028.14,42407771.67,Amata Lutton,2/2/1948,Pavlov Downgate,3/15/1943
Flash Gordon's Trip to Mars,Ciencia ficción,1.61,23060146.16,37556023.47,Brooke Augustus,12/1/1955,Art Thumnel,11/28/1949
Sitcom,Animación,3.33,11381677.96,31783316.51,Corene Maltster,5/12/1937,Deedee Thirst,11/9/2007
Moonrise Kingdom,Musical,1.54,12159927.72,32295873.43,Jennee Hebditch,9/4/2014,Sarah Gillbe,5/5/1972
Who Are the DeBolts? [And Where Did They Get 19 Kids?],Acción,2.65,16575744.88,40408791.87,Madelle Besse,1/2/2024,Chere Hemphill,4/9/1933
Brushfires,Western,2.65,14219048.41,21642554.8,Dorie Vicary,12/30/2013,Tito Whacket,6/13/1962
"Million, Le (Million, The)",Romance,1.2,12483371.95,34322430.71,Arron Cornejo,5/6/1980,Terrye Zecchinelli,11/21/2008
Quicksilver,Aventura,3.4,19966447.75,28805603.14,Emyle Eyden,8/28/1966,Charo Mackneis,5/28/1971
Dog Day Afternoon,Musical,3.05,28016019.35,81602464.48,Kilian Pulman,9/12/2015,Levi Busst,9/21/1946
"13 Frightened Girls! (Candy Web, The)",Misterio,1.86,6454400.73,14954676.0,Kaye Maffy,2/22/1937,Sheba Skein,6/20/1971
Fritz the Cat,Documental,3.08,20096951.73,34812236.48,Lothario Moehle,9/16/1932,Tremain Calloway,6/30/2000
"Hideous Sun Demon, The",Animación,1.04,13479710.32,38945739.87,Hope Desvignes,11/10/2001,Salim Howieson,9/17/1996
Shadows of Our Forgotten Ancestors (Tini zabutykh predkiv),Animación,2.93,14839602.27,42425659.25,Hamlin Irving,8/27/1987,Bary Brigg,9/1/1996
Killing Me Softly,Western,2.09,29701879.67,60145141.71,Sofia Pilmoor,6/20/1977,Fayth Riepel,7/31/2002
The Big Flame,Documental,2.69,6605408.3,11209138.2,Caspar McPhail,12/2/2008,Chelsie Corck,1/24/2002
"Stickup, The",Ciencia ficción,1.65,21529962.74,43578236.87,Ludvig Brabon,9/17/2017,Madalyn Goldby,2/15/2019
"Red Badge of Courage, The",Suspense,2.16,19248479.32,24444646.11,Clarissa Ten Broek,10/17/1972,Consuelo Butterfint,10/16/1972
"Callejón de los milagros, El",Musical,3.93,15087636.83,23362903.55,Leanna Wingatt,3/5/2009,Kenna Kunz,10/31/1954
The Walking Stick,Animación,2.12,11638445.34,15889171.16,Meredeth Retter,2/15/1935,Carol Golsby,5/10/1952
"Boys of Baraka, The",Fantasía,2.46,24506370.61,69174090.57,Joelle Lennard,6/11/1987,Celka Pancost,2/26/2010
Sherlock Holmes,Drama,2.9,5044217.21,13089365.57,Vite De Roberto,5/9/1937,Christian Blackborough,2/12/1984
Cinderella,Ciencia ficción,2.7,15748470.42,24103428.99,Erin Borrow,7/31/2010,Adrian Odlin,11/3/1961
"Octagon, The",Romance,3.86,24835626.27,32785428.85,Sheffield Hammerman,12/24/1948,Samaria Cullrford,4/10/1963
"Thirty-Nine Steps, The",Ciencia ficción,1.3,19054688.21,29297328.2,Darrin Sentance,11/18/1942,Drona Brosnan,12/18/1963
Rentun Ruusu,Drama,2.94,19610016.56,47836656.58,Amye Gabbott,8/18/1956,Nefen Rothwell,12/7/1934
"Big Doll House, The",Animación,2.64,24204130.55,55378472.61,Felecia Antram,5/31/1942,Drusilla Dalrymple,4/24/1951
Manhattan Melodrama,Bélico,3.71,13653902.23,40454623.64,Arleen Wansbury,9/29/1947,Garrott Schwandt,4/2/2005
Koch,Suspense,2.91,28384161.15,51621311.91,Leonore Swinnerton,12/10/2020,Virgina Marconi,11/11/2002
Heading South (Vers le sud),Ciencia ficción,2.16,10960378.13,32530887.41,Xerxes Sandford,7/7/1988,Tadeo Williscroft,1/12/2013
"Glenn Miller Story, The",Animación,3.7,17776555.72,23587745.48,Pernell Kik,3/2/1964,Pincas Chue,3/21/2021
Camila,Misterio,1.45,6287859.67,11952114.81,Janka Spaunton,7/26/1931,Casi Matskevich,4/5/1946
You and Me,Comedia,1.26,8224658.71,21648471.06,Dulci Bernard,8/3/1964,Hanna Duggen,4/8/2005
Scary Movie 2,Histórico,1.27,7155394.77,11809777.19,Charles O'Coskerry,1/26/1999,Delia Grafton,9/7/2018
"Smurfs, The",Bélico,3.11,10940642.17,32815550.32,Georas Goolden,12/5/1968,Nichols Phizaclea,10/9/1943
28 Days Later,Drama,1.25,5332672.55,11477781.85,Tabbie Crees,2/24/1956,Perceval Ciciura,9/5/1968
Free Fall,Suspense,3.19,7340318.2,13409110.7,Agace Lill,9/17/2015,Celestina Lemonnier,7/22/1970
Gunnin' for That #1 Spot,Drama,3.93,5951090.82,9105294.23,Lulita Ivakhnov,7/17/1980,Othello Plampeyn,2/16/1948
Bela Kiss: Prologue,Musical,2.03,27560671.09,73176726.21,Deeanne Roddan,1/10/1997,Derick Bodesson,6/2/2025
"Thief of Paris, The (Le voleur)",Cine negro,1.69,17077484.4,28878731.02,Stormy Hinckesman,4/13/1940,Emelda Lotte,8/31/1977
Escanaba in da Moonlight,Ciencia ficción,2.91,6654117.46,17158785.74,Kalinda Mee,6/28/2013,Fannie Regglar,12/19/1939
Daddy and Them,Fantasía,2.82,19138336.13,55664131.51,Glory Finden,6/12/1939,Adamo Molan,7/17/1933
"Bûche, La",Terror,2.35,10480646.12,20198147.13,Wendi Keyhoe,10/5/1975,Barbie Filippov,8/9/2005
$ellebrity (Sellebrity),Ciencia ficción,3.72,8743671.24,24235548.56,Towney Paschke,8/11/1988,Maximilian Pozzi,6/26/1958
Rio Rita,Romance,2.57,16138074.42,21692090.76,Josias Braime,12/29/2023,Catherin Hopkynson,8/14/2004
The Little Fox,Acción,3.35,18942348.48,28705886.88,Juliette Del Castello,10/15/1989,Rodge Bacchus,7/23/1957
Meet Wally Sparks,Ciencia ficción,2.64,29688709.15,78249636.61,Margaretha Hordle,8/14/1985,Chris Blencoe,8/24/1964
"Fallen, The",Cine negro,3.32,12524263.38,28748221.99,Caroljean Camp,1/30/1998,Rickie Glaysher,10/6/1999
Nice Guys Sleep Alone,Documental,2.95,5573528.35,7516038.94,Lionel Mouland,6/28/1983,Clari Ambrogelli,1/19/1982
Radio Inside,Ciencia ficción,3.62,26074096.59,67862960.17,Kristofer Spering,11/17/1999,Wynny Saunderson,6/28/1992
Auto Focus,Comedia,3.95,11215558.73,27286655.07,Dniren Cardello,7/12/2022,Pavel Dunckley,4/30/1998
Daddy and Them,Comedia,3.39,20686043.61,54458469.82,Ritchie Hulmes,5/7/1983,Axel Harmond,1/30/1940
"Alligator People, The",Bélico,1.96,8730891.08,22516999.97,Bernard Aberhart,6/6/1954,Adria Tiltman,8/30/2004
Eddie Murphy Delirious,Suspense,2.83,6246895.68,13810065.69,Quintana Cowlin,6/13/1966,Gene Jeffree,3/25/1982
Mondovino,Histórico,3.98,14886126.51,25106680.88,Carol-jean Fones,5/24/1995,Omero de Najera,8/21/1980
"Big Hand for the Little Lady, A",Romance,1.41,12539347.56,23391504.07,Wren Tisun,5/29/2000,Malina Garstang,7/29/2001
Dawn of the Dead,Suspense,2.71,20851316.36,45791312.55,Keriann Ricardet,3/31/2008,Cinderella Wressell,12/16/1967
"Bank, The",Aventura,3.77,19877711.68,59115777.34,Allianora Sendall,6/30/1940,Maggi Geikie,3/28/1949
"Pearls of the Crown, The (Les perles de la couronne)",Drama,3.93,27581496.7,38628056.46,Sherwynd Muncaster,3/7/2017,Malvina Battell,7/17/2012
Stray Dogs (Sag-haye velgard),Terror,2.0,10616272.95,26413637.36,Cherri Pipes,6/25/2001,Devland Locock,12/8/2021
"Perfect Man, The",Ciencia ficción,3.78,28331979.58,58276473.45,Delphine Leeds,9/7/1953,Corey Rigmond,6/24/1952
America the Beautiful ,Musical,1.37,14343341.6,37770246.78,Marne Osbiston,7/23/2001,Denis Dennant,6/2/1994
"Hunting and Gathering (Ensemble, c'est tout)",Romance,1.71,11117170.96,18322608.46,Sean Belderson,8/20/2008,Celka Frangleton,5/7/1980
"Love, Wedding, Marriage",Histórico,1.49,8614811.92,18808598.03,Shawn Matyashev,11/20/1969,Farley Mapples,1/22/1987
Angel's Egg (Tenshi no tamago),Documental,2.43,22702865.88,33587029.4,Jase Bernardes,8/21/1998,Bella Haggar,10/26/2009
God told Me To,Cine negro,1.3,20706381.75,31600017.86,Maxie Klimsch,12/14/2015,Bette Dachs,8/3/1947
Who's Afraid of Virginia Woolf?,Histórico,2.83,29818893.63,59614416.4,Wilt Leitch,4/23/2024,Demetrius Rome,8/24/1966
I Want to Be a Soldier,Aventura,3.13,11095982.06,15455316.08,Dane Lochhead,1/27/1950,Charil Rillett,12/23/1989
Eagle vs Shark,Terror,1.11,18152179.32,45554844.48,Myrta Le Marchant,8/1/2012,Kilian Fooks,1/11/1958
Adventure in Baltimore,Documental,3.06,14491931.51,31216649.34,Traver Vidloc,12/11/1974,Martha Lapsley,8/2/1944
Winter's Tale,Cine negro,2.18,27826155.4,79208358.3,Marion Manis,1/29/1982,Ashia Scourge,6/5/1944
Blindsight,Drama,3.21,29234779.86,87134834.16,Mahalia Poll,6/20/1967,Britteny Tonnesen,9/13/1958
Princess,Fantasía,3.49,29207406.4,58569251.56,Fredi Birth,10/16/2000,Grantham Gulleford,5/18/2023
Killing Bono,Animación,1.86,24050516.16,63168736.99,Pepe Terese,11/14/1933,Cob Allsepp,2/28/1962
Ms. 45 (a.k.a. Angel of Vengeance),Animación,1.0,10870841.94,14425352.88,Wiatt Queree,6/18/1935,Andy Romaint,4/29/2005
"Chocolate Soldier, The",Histórico,2.26,7883924.85,11621480.25,Davey Karpets,2/10/1999,Alison Le Franc,11/28/1999
Twice Born (Venuto al mondo),Bélico,1.59,25894912.96,71236980.12,Meggi Cullnean,12/5/1942,Heddi Treweke,11/6/1968
Operator 13,Fantasía,1.64,28112698.54,37354685.27,Ralph Cremins,11/5/2020,Donia Shinfield,10/8/1941
Gold Diggers of 1935,Suspense,2.68,28922089.99,63557154.43,Layne Buck,4/11/1996,Lyndsay Dwerryhouse,1/5/1944
Godzilla vs. SpaceGodzilla (Gojira VS Supesugojira),Cine negro,2.97,23088729.24,49665821.54,Steve McKennan,5/1/2000,Becki Pickrill,2/27/1981
"Blueprint for Murder, A",Aventura,2.81,27910204.44,81936445.3,Mateo Sissland,10/27/1934,Kevina Sandes,6/28/1977
Rich and Famous (Gong woo ching),Terror,2.53,5432587.48,11632609.67,Nathalie McManamon,7/16/1963,Hakim Izon,10/5/1955
Phantom (O Fantasma),Comedia,1.77,14760030.31,42296125.58,Harold Matusevich,3/6/1955,Harlan Vowels,5/16/2007
Culloden (The Battle of Culloden),Musical,3.88,19763171.17,52643670.18,Weber Burfoot,2/6/2002,Katerina Parysiak,5/4/2009
As Long as You've Got Your Health (Tant qu'on a la santé),Musical,1.43,28185686.88,62415459.31,Julie Waring,11/17/2020,Sergio Cabotto,2/19/1933
Robot Monster,Fantasía,2.73,11330180.74,26141254.16,Vernor Gainor,12/1/1964,Jakie Dionsetti,12/12/1935
The Phantom of the Opera,Romance,1.62,10755240.05,22781815.89,Jaymie Jurick,6/21/1980,Raff Poupard,3/25/1965
"Secret Life of Girls, The",Romance,3.84,20567791.01,57722737.53,Emmet MacCague,3/11/1946,Rodi Kyne,8/1/1946
Renoir,Misterio,2.42,10700516.64,29365933.57,Greer Gunningham,4/28/1967,Lars Mariyushkin,11/14/1972
Father and Guns (De père en flic),Aventura,3.47,20005485.96,46847848.91,Dayna Egdal,9/25/2000,Anjanette Saile,11/7/1975
Aningaaq,Fantasía,2.52,27250257.8,40764543.81,Willard Drewe,10/19/1985,Luce Janout,1/4/1985
Jewtopia,Musical,3.19,14020820.28,28335321.53,Sven Hillam,4/25/1982,Harper Rojas,11/28/2008
Dinner Rush,Musical,1.07,11138782.35,25226334.44,Bill Dennis,3/21/1946,Jeannie Worral,2/7/2003
Bloody Murder,Bélico,2.4,27978335.02,42823533.98,Imelda Meneo,4/24/2018,Antonie Dressell,8/12/1999
Charlie Chan in Dangerous Money,Fantasía,1.6,18319339.21,48703826.95,Sutton Jakubowsky,6/16/2025,West Hockey,1/2/1944
I'm Here,Suspense,2.94,19447710.28,31291009.33,Felecia Janoch,12/16/1997,Bat de Voiels,12/9/1961
The Mysterious Island,Histórico,2.6,21552903.35,50280120.17,Camile Semken,2/27/2012,Martie Lopez,7/4/2023
Story of a Prostitute (Shunpu den),Animación,2.3,18558682.97,47915989.46,Joanna Elphee,5/5/1937,Guss Gawen,7/23/1938
Elle: A Modern Cinderella Tale,Drama,3.4,12433611.52,27670010.59,Larissa Banbrick,9/19/2005,Whitby Jacquemy,12/25/1993
"Nightmare Castle (Amanti d'oltretomba) (Lovers from Beyond the Tomb) (Faceless Monster, The)",Histórico,3.67,19802214.51,42547118.28,Silvano Clarricoates,6/15/1977,Lauree Springle,11/8/1955
Romance in a Minor Key (Romanze in Moll),Suspense,1.27,7296749.47,20848000.32,Ilysa Falcus,7/3/1931,Lorraine Crocroft,3/12/1952
For Roseanna (Roseanna's Grave),Acción,3.92,9011947.84,23225177.45,Adan Popplewell,3/18/2004,Cull Menis,1/15/1989
Detroit Metal City (Detoroito Metaru Shiti),Animación,2.76,9555210.89,17168493.32,Vita Raith,6/20/2012,Ramona Haighton,6/13/1946
Shock Treatment,Suspense,2.63,10897793.8,15937865.2,Christyna Nares,7/31/1938,Garik Petersen,12/7/2014
Not One Less (Yi ge dou bu neng shao),Histórico,1.75,16708533.21,39892719.32,Mattie Heel,9/4/1989,Genevieve Prangley,1/21/1955
Raising Victor Vargas,Documental,2.43,25945849.85,41146688.44,Hasty Pleasants,11/1/1992,Rosemonde Bradborne,4/30/1985
"Life and Times of Hank Greenberg, The",Aventura,1.28,6454835.82,14795787.39,Anastasie Picardo,3/5/1950,Malena Roslen,5/3/1974
Hercules in New York,Suspense,2.15,20523543.64,51775317.98,Giuditta Simoneau,4/28/1999,Violet Baddow,5/24/1995
Mommy,Cine negro,2.46,24489711.28,71512465.42,Whitaker Guarnier,1/16/1944,Dare McConachie,11/21/2024
Chatroom,Ciencia ficción,1.22,20858446.51,43471237.35,Ashia Egleton,7/10/1999,Moyra O'Corrane,11/10/1959
Flow,Documental,3.12,22645637.13,66878322.87,Cahra Florentine,1/29/1984,Delia Storey,1/5/1995
The Vanishing American,Drama,1.51,8542897.48,15220615.91,Brandea Rumens,7/14/1936,Nester Foy,7/21/1957
One Way Passage,Western,3.9,18617591.35,33562112.73,Bartel Digance,9/4/1978,Paulina Murley,8/16/1965
I Am Curious (Yellow) (Jag är nyfiken - en film i gult),Comedia,3.47,25324892.87,72249433.97,Marthe Hrus,4/22/2020,Dominic Jope,5/22/1936
Top of the Food Chain (a.k.a. Invasion!),Romance,3.7,9865446.3,16000902.61,Giraud Baxter,2/8/1931,Nowell Caverhill,3/22/1957
"Motel Life, The",Documental,1.36,27857852.54,75353528.41,Blythe Reynolds,11/25/1946,Travis Pudner,9/18/1943
"Black Swan, The",Misterio,1.51,7596857.11,21762325.72,Gaspard Truswell,1/28/1980,Ulrika Rosbrough,3/11/2007
Fog Over Frisco,Fantasía,3.64,12053441.68,29963903.29,Chandra Di Lucia,7/21/2021,Tomi Bapty,5/11/1966
The Anderssons in Greece: All Inclusive,Animación,3.09,6597502.54,16155090.66,Gaven Castagne,12/21/2019,Jeanna Oven,1/5/1948
You Kill Me,Drama,2.96,28357956.21,53043813.64,Mariya MacPhaden,7/10/1978,Lainey Slixby,4/24/1944
"Lost, Lost, Lost ",Aventura,2.27,10617799.87,29295643.53,Davidde Taverner,11/29/2018,Yvon Chessill,11/12/1993
"Miracle of Marcelino, The (Marcelino pan y vino)",Bélico,1.13,20231478.03,35603798.43,Leanora Darker,1/13/2018,Josy Kohtler,6/20/1938
Camp Nowhere,Terror,3.11,5061034.94,10092188.12,Mellisa Kenworthey,4/22/1957,Nichole Yeats,5/25/1933
Who Is Cletis Tout?,Fantasía,1.27,13532495.18,25548654.36,Beatriz O' Mara,12/31/2000,Joni Millea,9/6/1989
Stormy Monday,Fantasía,2.52,16940163.24,43233625.87,Esra Oxbie,4/11/1984,Tiler Tourle,5/27/1931
